Comment,Designator,Footprint,LCSC,Quantity
100nF,"C10,C13,C4,C5,C6,C7,C8",C_0805_2012Metric,C49678,7
10uF,"C2,C3,C9",C_0805_2012Metric,C15850,3
1K,"R10,R11,R13,R6,R7,R8,R9",R_0805_2012Metric,C17513,7
1N4148WS,D1,D_SOD-323,C2128,1
1uF,C1,C_0805_2012Metric,C28323,1
22,"R12,R2,R3",R_0805_2012Metric,C17561,3
30pF,"C11,C12",C_0603_1608Metric,C1658,2
4K7,"R1,R4,R5",R_0805_2012Metric,C17673,3
51K,"R14,R15",R_0805_2012Metric,C17737,2
74LCX07,U2,TSSOP-14_4.4x5mm_P0.65mm,C2676034,1
8MHz,X1,Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962,1
AP2112K-3.3,U3,SOT-23-5,C51118,1
Encoder,J4,PinHeader_1x05_P2.54mm_Vertical,C5383114,1
Floppy 34,CN3,IDC-Header_2x17_P2.54mm_Vertical,C601943,1
MMBT3904,Q1,SOT-23,C20526,1
OLED+SER,J3,PinHeader_1x06_P2.54mm_Vertical,C5383115,1
POWER_IN,CN1,171826-4,C590635,1
STM32F105RBT6,U1,LQFP-64_10x10mm_P0.5mm,C8349,1
Sound,J1,PinHeader_1x02_P2.54mm_Vertical,C5383111,1
USB,CN2,USB-C-SMD_TYPE-C16PIN,C393939,1
USB_Prog,J2,PinHeader_2x05_P2.54mm_Vertical,C5383106,1
